dataset,optimiser,seed,train_rmse,test_rmse
abalone,de,5,3.033414125442505,3.0466229915618896
abalone,de,6,3.1247427463531494,3.117309808731079
abalone,de,7,3.03914475440979,2.9447410106658936
abalone,de,8,3.0818097591400146,3.0321497917175293
abalone,de,9,2.7401926517486572,2.750636339187622
abalone,cmaes,0,4.196943283081055,4.12657356262207
abalone,cmaes,1,4.138087272644043,4.087960243225098
abalone,cmaes,2,4.098273754119873,4.1696553230285645
abalone,cmaes,3,4.148723602294922,4.227785110473633
abalone,cmaes,4,3.7858197689056396,3.8557937145233154
abalone,cmaes,5,4.164867877960205,4.175384521484375
abalone,cmaes,6,4.968660831451416,4.881806373596191
abalone,cmaes,7,3.707986354827881,3.6795647144317627
abalone,cmaes,8,3.9123222827911377,3.811485528945923
abalone,cmaes,9,3.4483232498168945,3.4140474796295166
concrete,adam,0,10.482268333435059,10.981359481811523
concrete,adam,1,10.3129243850708,10.928946495056152
concrete,adam,2,10.198311805725098,10.877169609069824
concrete,adam,3,10.228827476501465,11.001886367797852
concrete,adam,4,10.107070922851562,10.880670547485352
concrete,adam,5,10.945569038391113,11.256343841552734
concrete,adam,6,10.384063720703125,11.199970245361328
concrete,adam,7,10.265060424804688,11.054795265197754
concrete,adam,8,10.58590030670166,11.034696578979492
concrete,adam,9,10.83897590637207,11.381329536437988
concrete,sgd,0,11.578817367553711,11.958955764770508
concrete,sgd,1,11.185739517211914,11.71774959564209
concrete,sgd,2,11.247608184814453,11.760183334350586
concrete,sgd,3,11.26839542388916,11.836503982543945
concrete,sgd,4,11.036723136901855,11.674032211303711
concrete,sgd,5,11.803274154663086,12.016329765319824
concrete,sgd,6,11.437946319580078,12.089571952819824
concrete,sgd,7,11.278266906738281,11.980931282043457
concrete,sgd,8,11.464723587036133,11.672303199768066
concrete,sgd,9,11.77944278717041,12.115437507629395
concrete,rmsprop,0,12.334856033325195,12.427597045898438
concrete,rmsprop,1,12.023372650146484,12.417208671569824
concrete,rmsprop,2,11.905874252319336,12.422860145568848
concrete,rmsprop,3,11.908231735229492,12.480766296386719
concrete,rmsprop,4,11.771920204162598,12.12791919708252
concrete,rmsprop,5,12.442889213562012,12.551575660705566
concrete,rmsprop,6,12.163691520690918,12.509997367858887
concrete,rmsprop,7,12.103165626525879,12.398749351501465
concrete,rmsprop,8,12.328451156616211,12.382097244262695
concrete,rmsprop,9,12.595677375793457,12.648555755615234
concrete,pso,0,11.408411979675293,11.330047607421875
concrete,pso,1,11.402383804321289,12.029974937438965
concrete,pso,2,10.996442794799805,11.714094161987305
concrete,pso,3,11.206693649291992,11.844204902648926
concrete,pso,4,11.182714462280273,11.402749061584473
concrete,pso,5,11.856438636779785,11.763835906982422
concrete,pso,6,11.2770414352417,11.973262786865234
concrete,pso,7,11.171892166137695,11.98100757598877
concrete,pso,8,11.09475040435791,11.262467384338379
concrete,pso,9,11.73031234741211,12.126382827758789
concrete,ga,0,11.956581115722656,12.287785530090332
concrete,ga,1,11.290838241577148,11.862479209899902
concrete,ga,2,11.520700454711914,11.888777732849121
concrete,ga,3,11.545934677124023,12.054795265197754
concrete,ga,4,10.992169380187988,11.368363380432129
concrete,ga,5,11.824899673461914,11.875568389892578
concrete,ga,6,11.505386352539062,11.996655464172363
concrete,ga,7,11.302821159362793,11.992854118347168
concrete,ga,8,11.698594093322754,12.09892463684082
concrete,ga,9,11.920927047729492,12.279516220092773
